id,attr_x_chest_acc,attr_y_chest_acc,attr_z_chest_acc,attr_x_thigh_acc,attr_y_thigh_acc,attr_z_thigh_acc,attr_x_waist_acc,attr_y_waist_acc,attr_z_waist_acc,attr_x_chest_gyr,attr_y_chest_gyr,attr_z_chest_gyr,attr_x_thigh_gyr,attr_y_thigh_gyr,attr_z_thigh_gyr,attr_x_waist_gyr,attr_y_waist_gyr,attr_z_waist_gyr
1.0,-1.5352819,9.540894,0.20590134,-3.6445735,8.832211000000001,-0.52971715,-0.8110358,-0.42975920000000006,0.11731588,0.05196339,-0.05918753,-0.062401213,0.020384311999999998,-0.011141641,0.09605192,0.6056861,0.34651995,0.52340525
2.0,-1.5460558,9.515156,0.21188685,-3.6487634,8.79929,-0.51714754,-3.141791,-0.25977087,-1.049259,0.060820937,-0.06346358,-0.06209578,0.0029746518,-0.0047275554,0.09421933,0.68540406,0.74297154,0.33770224
3.0,-1.5239093000000001,9.490017,0.25139117,-3.7391446000000004,8.810661999999999,-0.51954174,-5.783194,-1.1360487,-4.0438066,0.06906761,-0.06163099,-0.06087405,-0.013213276999999999,0.011765806,0.09788451,0.40104629999999997,0.9305071,0.08602577
4.0,-1.5286977,9.514558000000001,0.27533320000000006,-3.769072,8.844180999999999,-0.5303157,-6.9503675000000005,-1.4556746,-4.912902,0.06845675400000001,-0.062852725,-0.05904145,-0.0067991912,0.021234216,0.10093884,0.27612436,1.2011204,-0.13144226
5.0,-1.5275006000000002,9.52174,0.25258827,-3.7056258,8.841188,-0.51355624,-5.355231,-0.31663316,-3.5350387000000003,0.06784589,-0.05949296,-0.059346884,0.014275659,0.009016910999999999,0.10735293,0.46427086,1.0093087,-0.17664629
6.0,-1.5173253,9.481637,0.19752164,-3.675698,8.817844000000001,-0.5021838,-1.7316063999999998,0.11552023,-0.10534488,0.08800444,-0.05582777,-0.057514288,0.019468013,-0.025191542,0.10216057,0.59255254,-0.24754652,-0.15190625
7.0,-1.4850036,9.434352,0.14065935,-3.6721067,8.803479,-0.5315128,1.4712370000000001,0.15622166,2.1817162,0.09777828,-0.056133203,-0.062401213,0.013970226,-0.02732957,0.10277144,0.581557,-0.9894423000000001,-0.132664
8.0,-1.5382746,9.469666499999999,0.20470424,-3.6553473,8.832211000000001,-0.52732295,3.74094,-0.026934769,1.8866308999999997,0.11030102,-0.06163099,-0.054765395999999994,0.002363786,-0.014501399,0.09849538,0.34148693,-1.1687313,-0.122584715
9.0,-1.5346833,9.55885,0.19512744,-3.6673183,8.865729,-0.47465047,4.9637785,-0.16400282,0.7092823,0.11457708,-0.061325557999999995,-0.052932799999999995,-0.003134001,-0.008087315,0.09941168,0.11119075,-0.91216785,0.013332797
10.0,-1.5173253,9.55885,0.18854338,-3.6739025,8.859145,-0.43514615,4.723161,0.207697,-0.54049104,0.111828186,-0.058576666,-0.05690342599999999,0.008777871999999999,-0.015112265,0.104909465,0.15975454,-0.43080607,0.11443099400000001
11.0,-1.5346833,9.595961,0.11432313,-3.639785,8.80767,-0.47884035,2.9418752,1.2144588,-0.49320555,0.10541410000000001,-0.055216905,-0.05690342599999999,0.021911476000000003,-0.016333995,0.098800816,0.3280479,0.06491107,0.10710062
12.0,-1.5005659,9.550469999999999,-0.025139118,-3.6715082999999997,8.759186999999999,-0.55725044,2.0362685000000003,1.2982559,-0.090381116,0.07487084,-0.057965800000000005,-0.05690342599999999,0.0048072487,0.0032136925,0.09605192,0.11393964,0.5108427,-0.10456419
13.0,-1.5101427,9.515755,0.36750996,-3.6768951000000003,8.823831,-0.5650316,3.9767690000000004,1.1953052,1.1749545,0.08830987,-0.058576666,-0.05873602,-0.016878469,0.025510276000000002,0.10307687,-0.24891432,0.66936225,-0.4732214
14.0,-1.4891934,9.500791,0.18794483,-3.6942532,8.871116,-0.5518635000000001,16.08305,0.28012159999999997,8.337808,0.11885314,-0.05949296,-0.058125153,-0.014740441000000002,0.004129989000000001,0.10307687,0.09072676,-0.015723143000000002,-0.79392564
