id,attr_x1_chest_acc,attr_y1_chest_acc,attr_z1_chest_acc,attr_x2_thigh_acc,attr_y2_thigh_acc,attr_z2_thigh_acc,attr_x3_waist_acc,attr_y3_waist_acc,attr_z3_waist_acc,attr_x4_chest_gyr,attr_y4_chest_gyr,attr_z4_chest_gyr,attr_x5_thigh_gyr,attr_y5_thigh_gyr,attr_z5_thigh_gyr,attr_x6_waist_gyr,attr_y6_waist_gyr,attr_z6_waist_gyr
1.0,1.1994951,9.71986,1.0959458,1.9237411,9.40203,-0.008978256,9.935339,0.28790274,0.3172317,-0.018936822,0.061391957000000004,0.014966198,-0.061471645,0.16299479,0.036359757,-0.1150817,0.0089505,-0.023252716
2.0,1.1366472,9.5385,1.2084733,1.9135658,9.46009,-0.06344634,9.90601,0.3184288,0.29269117,-0.018325957,0.06383542,0.013439035,-0.06269337,0.13458955,0.036665194,-0.10897304,-0.013040649,-0.02844507
3.0,1.1905168,9.563039999999999,1.122282,1.9452889,9.448118,-0.06823475,9.898827,0.3393781,0.33039984,-0.018325957,0.06383542,0.013439035,-0.063609675,0.11320926,0.033,-0.10652958,-0.018233003,-0.025085311000000002
4.0,1.2737153,9.660604,0.84814596,1.9752164,9.439739,-0.08499416,9.933542999999998,0.24600422,0.2741361,-0.006414085,0.04642576,0.0067195175,-0.063304245,0.13367325,0.031167405,-0.099504635,-0.019760167,-0.026612476
5.0,1.2940661,9.617508,1.0019734,1.9351135,9.446322,-0.090381116,9.911995,0.25198972,0.28550854,0.0061086523,0.02565634,-0.0033597588,-0.06880203,0.14375253,0.033610865,-0.10469699,-0.00845916,-0.026612476
6.0,1.282095,9.568427,1.0540473,1.95307,9.449316,-0.10235212,9.916184,0.33159694,0.18734628,0.0061086523,0.02565634,-0.0033597588,-0.06971832,0.14222537,0.036359757,-0.10988934,-0.0020450745,-0.03272113
7.0,1.2521674999999999,9.631275,1.1731589,1.9764134999999998,9.447519999999999,-0.08319851,10.052056,0.25737667,0.23283611,0.0061086523,0.02565634,-0.0033597588,-0.06819116,0.14497426,0.032389134,-0.10194810000000001,0.0040635783000000005,-0.026917907999999997
8.0,1.2970588,9.6288805,1.2150573999999998,1.9452889,9.424176,-0.07841010400000001,10.009559,0.25318682,0.1412579,0.015882496,0.03176499,-0.012217305,-0.0675803,0.14680685,0.029640242,-0.11691429,-0.0017396417000000001,-0.02019839
9.0,1.2372037,9.545682000000001,1.2737153,1.9237411,9.448717,-0.08319851,9.896433,0.415394,0.21667525,0.02076942,0.04276056599999999,-0.010690141499999998,-0.07429981,0.16085675,0.02597505,-0.13371308,-0.03442093,-0.022030985
10.0,1.22224,9.511565,1.22224,1.9428947,9.445126,-0.091578215,9.786897999999999,0.44113165,0.24660277,0.02076942,0.04276056599999999,-0.010690141499999998,-0.073688954,0.1724632,0.030861972,-0.10927847,-0.0017396417000000001,-0.03547002
11.0,1.2096704,9.485228999999999,1.067814,1.9249381999999997,9.437942999999999,-0.13826515,9.803059,0.3345897,0.21547815,0.00030543262000000003,0.05009095,-0.004276057,-0.07399438,0.16910344,0.033,-0.08514930000000001,0.02758189,-0.027834205
12.0,1.2354081000000001,9.489417999999999,0.9911995000000001,1.9428947,9.444528,-0.110731825,9.779117,0.25737667,0.22685061,-0.019547688,0.0571159,-0.0015271631,-0.073688954,0.15505353,0.033610865,-0.10897304,-0.004793968,-0.017144063
13.0,1.2659341,9.528922999999999,1.0283096,1.9057846,9.431957,-0.14185645,9.892242,0.32501290000000005,0.25378537,-0.019547688,0.0571159,-0.0015271631,-0.07032919,0.14589056,0.036970623,-0.12149578,-0.05030343,-0.014089737
14.0,1.2473791,9.630077,1.0289081,1.9237411,9.442732000000001,-0.0712275,9.986216,0.3609259,0.19632454,-0.019547688,0.0571159,-0.0015271631,-0.07796500599999999,0.14772315,0.030251108,-0.10591872,-0.048165396,-0.018976659
15.0,1.2174516000000002,9.676167,0.98940384,1.9285294999999998,9.440936,-0.109534726,9.941324,0.39384618,0.1604115,-0.018936822,0.06261369,-0.002443461,-0.07918674,0.15627527,0.027502212999999998,-0.0991992,-0.05183059,-0.025696177
16.0,1.2078748,9.671378,0.9756372,1.9093759,9.427767999999999,-0.13108255,9.922769,0.29388827,0.28790274,-0.011911871999999999,0.063224554,-0.00580322,-0.07429981,0.17337950000000002,0.027502212999999998,-0.115692556,-0.08115212,-0.03760805
17.0,1.2324153,9.619903,1.027711,1.9195513,9.442732000000001,-0.05626374,9.917382,0.26036942,0.18435353,-0.011911871999999999,0.063224554,-0.00580322,-0.07613241,0.17490666,0.032389134,-0.12577184,-0.11077909,-0.028139637999999998
18.0,1.2473791,9.623494,1.252766,1.9309237000000001,9.455300999999999,-0.024540568,9.8198185,0.38726214,0.10594343,-0.011911871999999999,0.063224554,-0.00580322,-0.07460525,0.16085675,0.034832597,-0.13218592,-0.09581289,-0.0296668
19.0,1.2389994,9.621099000000001,1.1366472,1.9405005000000002,9.401431,-0.076015905,9.718064,0.46387658,0.07062895,-0.0030543262,0.070554934,-0.010079277,-0.07460525,0.14925031,0.03269457,-0.12882617,-0.094591156,-0.0296668
20.0,1.2144588,9.575610000000001,0.6871359,1.9375077,9.409811,-0.05746084,9.876082,0.39803603,0.10055647,0.004886922,0.07360926,-0.011301007,-0.075216115,0.15352637,0.036970623,-0.13524024,-0.09795091,-0.0296668
21.0,1.292869,9.597756,0.9008184000000001,1.9147629000000002,9.437345,-0.06344634,9.974843,0.27712885,0.11252748,0.004886922,0.07360926,-0.011301007,-0.07735414,0.15535897,0.043690145,-0.14898472,-0.08115212,-0.018671226000000003
22.0,1.110311,9.661202000000001,0.9744401,1.903989,9.474455,-0.074818805,9.964667,0.16519992,0.15801731,0.004886922,0.07360926,-0.011301007,-0.07796500599999999,0.15596983,0.04002495,-0.14165433,-0.09978351,-0.023558147
23.0,1.2689268999999999,9.794081,0.9235633,1.9105729999999999,9.448717,-0.023942016,9.8276,0.12150574,0.2861071,0.0,0.064446285,-0.0036651915999999997,-0.07857587,0.15963502,0.03758149,-0.12516098,-0.12208009,-0.019282091
24.0,1.3030443,9.621099000000001,1.2360066,1.9255368000000002,9.423578,-0.006584055,9.834184,0.21906945,0.19033903,-0.005192355,0.06261369,-0.0009162978999999999,-0.076743275,0.14986119,0.03147284,-0.10652958,-0.13521370000000002,-0.018976659
25.0,1.2497733,9.703101,1.13964,1.9434932,9.39365,0.025737667000000002,9.93474,0.2741361,0.19812019,-0.005192355,0.06261369,-0.0009162978999999999,-0.07765958,0.16452195,0.033610865,-0.099810064,-0.11444427,-0.015616899999999998
26.0,1.1647792,9.56723,1.0839748,1.9536686,9.411008,0.0053869537,9.990405,0.29029694,0.18674773,-0.005192355,0.06261369,-0.0009162978999999999,-0.07704870400000001,0.15719156,0.041246682,-0.10286439,-0.12818874,-0.018365793000000002
27.0,1.1139023000000001,9.545682000000001,1.0821792,1.9375077,9.463681,-0.07062895,10.118495,0.3196259,0.1352724,0.0030543262,0.06566802,-0.004581489,-0.07246722,0.14191993,0.036054328,-0.10347526,-0.1428495,-0.016227765
28.0,1.1599906999999998,9.583391,0.86610246,1.9375077,9.440337,-0.018555064,9.941324,0.3890578,0.021547815,0.00030543262000000003,0.06291912,-0.005497787,-0.07857587,0.14711228,0.033305432999999995,-0.10958391,-0.13429739999999998,-0.013478871000000002
29.0,1.246182,9.681553,1.0163386,1.9201498,9.425373,-0.01616086,9.667786999999999,0.3633201,0.046686932,0.00030543262000000003,0.06291912,-0.005497787,-0.07735414,0.14405796,0.0339163,-0.12882617,-0.1202475,-0.013478871000000002
30.0,1.1923125,9.599552000000001,0.97623575,1.8896236000000002,9.441533999999999,-0.025737667000000002,9.615114,0.41359833,-0.02633622,0.00030543262000000003,0.06291912,-0.005497787,-0.08224106,0.1425308,0.03880322,-0.12057948,-0.16209176,-0.011646276
31.0,1.2617443000000002,9.655814999999999,1.0301052,1.9261352999999999,9.457695,-0.047884032,9.664195,0.38367084,-0.20649989,-0.005192355,0.049480084,-0.007330383,-0.08315736,0.14986119,0.036665194,-0.08728732,-0.17950143,-0.029972232999999997
32.0,1.2114661,9.7007065,1.1797429,1.9578583999999999,9.420585,-0.06344634,9.72824,0.27174190000000004,-0.3393781,0.0012217305,0.040317107000000005,-0.0070249503,-0.08193563,0.16116218,0.034527164,-0.11630343,-0.18408291,-0.03669175
33.0,1.2114661,9.640253,1.0929531000000001,1.9446903000000002,9.400234,-0.06883330000000001,9.583989,0.46267948,-0.5895722,0.0012217305,0.040317107000000005,-0.0070249503,-0.07857587,0.15596983,0.033305432999999995,-0.18472034,-0.2317304,-0.036997184
34.0,1.1534066,9.483433,1.0702082,1.9716251,9.409213000000001,-0.05805939,9.459491,0.75477207,-0.62368953,0.0012217305,0.040317107000000005,-0.0070249503,-0.07582697,0.14955574,0.035443462,-0.23542215,-0.28457025,-0.04280040400000001
35.0,1.192911,9.524733,0.9708488000000001,1.9991584,9.455899,-0.073621705,9.253589999999999,0.6368576,-0.7080852,0.005192355,0.03756821,-0.0070249503,-0.07277265,0.14925031,0.03758149,-0.22687003,-0.26960406,-0.033637427000000004
36.0,1.1899183,9.582193,1.0115502,1.9829974999999997,9.431957,-0.06943185,8.800487,0.5674258000000001,-0.9259575000000001,0.008857545999999999,0.03573562,-0.004886922,-0.07124549,0.15047204,0.03849779,-0.22198310000000002,-0.2915952,-0.010119113
37.0,1.2000936000000002,9.596559,1.0073603000000002,1.9632453999999997,9.415796,-0.03172317,8.141483000000001,0.6817489000000001,-1.1941081,0.008857545999999999,0.03573562,-0.004886922,-0.069412895,0.14863944,0.04094125,-0.27421209999999996,-0.36001209999999995,-0.0012615677000000001
38.0,1.2336124,9.566033000000001,1.0055646999999999,1.95307,9.450513,-0.04309563,7.33763,0.6679823,-1.091756,0.008857545999999999,0.03573562,-0.004886922,-0.06910746,0.15199920000000003,0.042468414,-0.30567163,-0.39483142,0.012788333
39.0,1.2318168,9.618107,0.9379284999999999,1.9410990000000001,9.469666499999999,-0.035913024,6.745663,0.40342298,-1.0049661,0.009773844,0.03634648,-0.0012217305,-0.07338352,0.15963502,0.03422173,-0.2433634,-0.45408535,0.03936097
40.0,1.1695676000000002,9.587581,0.8750806999999999,1.917157,9.431359,-0.06464344,6.684012400000001,0.19273324,-0.9235633,0.01985312,0.039095376,-0.0012217305,-0.07338352,0.16910344,0.03147284,-0.064990744,-0.5487695,0.04638592
41.0,1.1623849,9.636662,0.9451110999999999,1.9369092,9.438541,-0.0053869537,7.047931,0.017956512,-1.0714053,0.01985312,0.039095376,-0.0012217305,-0.07429981,0.17429578,0.030861972,0.06084749,-0.61291033,0.0024036244
42.0,1.2467805,9.707291,1.0839748,1.9416976000000001,9.412804,-0.025139118,7.300519500000001,-0.07841010400000001,-0.94930094,0.01985312,0.039095376,-0.0012217305,-0.07124549,0.16238391,0.036970623,0.16469459,-0.6575035,-0.10480323
43.0,1.3215994,9.727641,1.3335704,1.9375077,9.415198,-0.034715924,7.37055,-0.45310268,-0.7811083000000001,0.03940081,0.036651913,-0.004581489,-0.07063462,0.15291551,0.036665194,0.21356381,-0.74485725,-0.15855938
44.0,1.2144588,9.703699,0.6290765,1.9315223000000001,9.428965,-0.040102877,7.4046674,-0.31663316,-0.9864110999999999,0.03940081,0.029626964,-0.004276057,-0.06880203,0.15383181,0.038192354,0.19798674,-0.6776621,-0.074870825
45.0,1.323395,9.507375,0.8912416,1.9596541,9.433155000000001,-0.05865794,8.382699,0.50158525,-0.6051345,0.03940081,0.029626964,-0.004276057,-0.07307808,0.15322094,0.03758149,0.08833644,-0.5273892,0.008206844
46.0,1.1569979,9.562441999999999,1.1408371000000002,1.9219455,9.441533999999999,-0.051475335,10.012551,1.1701661,0.038307227,0.06078109,0.02321288,-0.00580322,-0.07460525,0.15871873,0.035748895,-0.07751348599999999,-0.40338355,0.016758956000000002
47.0,1.1414356,9.649231,0.6619968,1.9572599,9.500193,-0.03232172,11.9746,0.6757634,0.25737667,0.07452556,0.01740966,-0.007941248,-0.07185635,0.15444267,0.032083705,0.017170623,-0.25402698,-0.057766599999999994
48.0,1.2749124,9.377489,0.87328506,2.0111293999999997,9.447519999999999,-0.05327099,14.279019,-1.3880384,-1.2958617000000001,0.07452556,0.01740966,-0.007941248,-0.07216178599999999,0.15780243,0.032083705,0.4795956,-0.16300806,-0.15428331
49.0,1.3072342,9.575610000000001,1.0001777,1.9333179,9.367314,-0.08738836,17.430387,-1.4257472,-2.9400797,0.07452556,0.01740966,-0.007941248,-0.0684966,0.16940887,0.030861972,0.6762942,-0.08115212,-0.16650063
